Model,Dataset,Accuracy,Precision,Recall,F1 Score,AUC
BernoulliNB,X_train_1_3_gram,0.76846,0.7704818545940041,0.7633477633477633,0.7668982180610087,0.7684493886194348
LinearSVC,X_train_1_3_gram,0.78078,0.7925783374471823,0.7593795093795094,0.77562383574543,0.7807355793744105
LogisticRegression,X_train_1_3_gram,0.77838,0.786047279178184,0.7637085137085137,0.7747168967410089,0.7783495466514786
RandomForestClassifier1,X_train_1_3_gram,0.7598,0.7704883759826058,0.7386163219496553,0.7542157825802227,0.7597560294084856
RandomForestClassifier2,X_train_1_3_gram,0.76032,0.7699933355548151,0.740981240981241,0.7552087588855299,0.7602798588747813
BernoulliNB,X_train_1_2_gram,0.7684,0.7791047269083013,0.7478755812089145,0.7631708115183247,0.7683573978214459
LinearSVC,X_train_1_2_gram,0.77926,0.7824568527918782,0.7723264389931057,0.7773586428095941,0.7792456081281991
LogisticRegression,X_train_1_2_gram,0.78084,0.7810365608678184,0.7792207792207793,0.7801276134676352,0.780836639011635
RandomForestClassifier1,X_train_1_2_gram,0.76362,0.7694233531705315,0.7514430014430015,0.7603268914890596,0.7635947244162157
RandomForestClassifier2,X_train_1_2_gram,0.76268,0.7700660611065235,0.7475949975949976,0.7586641718190693,0.7626486883232851
BernoulliNB,X_train_2_3_gram,0.70384,0.68071000855432,0.7655122655122655,0.7206248585012452,0.7039680120472073
LinearSVC,X_train_2_3_gram,0.70354,0.6821632902738296,0.7599005932339266,0.7189366502967443,0.7036569867015873
LogisticRegression,X_train_2_3_gram,0.70526,0.6801708014256979,0.7725669392336059,0.7234306089893966,0.7053997078412961
RandomForestClassifier1,X_train_2_3_gram,0.6494,0.7170275014628438,0.4911816578483245,0.5829963366477948,0.6490715889433225
RandomForestClassifier2,X_train_2_3_gram,0.64936,0.7150812064965197,0.4941478274811608,0.5844315919218735,0.6490378287972625
BernoulliNB,X_train_1_gram,0.75908,0.7761558219178082,0.7267516434183101,0.7506417156578621,0.7590128965933958
LinearSVC,X_train_1_gram,0.761,0.7577127448647791,0.7659130992464326,0.7617908543635132,0.7610101980345209
LogisticRegression,X_train_1_gram,0.77096,0.7633468623165782,0.7840307840307841,0.7735505813493634,0.7709871307987227
RandomForestClassifier1,X_train_1_gram,0.76136,0.7654376376539686,0.7522446689113356,0.7587838111025756,0.7613410794660462
RandomForestClassifier2,X_train_1_gram,0.76022,0.7643506996858553,0.7509620009620009,0.7575972017226389,0.760200783332669
BernoulliNB,X_train_2_gram,0.705,0.6865988435921833,0.7520442520442521,0.7178329571106095,0.7050976489344684
LinearSVC,X_train_2_gram,0.6996,0.6780487804878049,0.7577360910694244,0.7156810782160976,0.6997206720715157
LogisticRegression,X_train_2_gram,0.70522,0.6799069537941,0.7732483565816899,0.7235798278351868,0.7053612052747185
RandomForestClassifier1,X_train_2_gram,0.65176,0.7157334249398832,0.5010822510822511,0.5894751732918377,0.6514472408213428
RandomForestClassifier2,X_train_2_gram,0.64984,0.7122318575992698,0.5004008337341671,0.5878142951313683,0.6495298117257774
BernoulliNB,X_train_3_gram,0.57566,0.5443143216856308,0.9184704184704184,0.6835409053620702,0.5763715656139414
LinearSVC,X_train_3_gram,0.57606,0.5449641581357436,0.9111351611351611,0.6820084309695615,0.5767555096750371
LogisticRegression,X_train_3_gram,0.57622,0.5450147294805163,0.9121372454705788,0.6823286007706032,0.5769172575748233
RandomForestClassifier1,X_train_3_gram,0.5441,0.6871848374195793,0.15840949174282506,0.25746766995667614,0.5432994289306493
RandomForestClassifier2,X_train_3_gram,0.54444,0.6891562064156206,0.15844957511624178,0.25765871463955153,0.543638806398932
